dfg,text,ddc
1.11-01,Ur- und Frühgeschichte (weltweit),930
1.11-02,Griechische und Lateinische Philologie,870
1.11-03,Alte Geschichte,930
1.11-04,"Klassische, Provinzialrömische, Christliche und Islamische Archäologie",930
1.11-05,Ägyptische und Vorderasiatische Altertumswissenschaften,930
1.12-01,Mittelalterliche Geschichte,900
1.12-02,Frühneuzeitliche Geschichte,900
1.12-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),900
1.12-04,Wissenschaftsgeschichte,900
1.13-01,Kunstgeschichte,700
1.13-02,Musikwissenschaften,780
1.13-03,Theater- und Medienwissenschaften,790
1.14-01,"Allgemeine und Vergleichende Sprachwissenschaft, Experimentelle Linguistik, Typologie, Außereuropäische Sprachen",400
1.14-02,"Einzelsprachenwissenschaften, Historische Linguistik",400
1.14-03,"Angewandte Sprachwissenschaften, Computerlinguistik",400
1.15-01,Germanistische Mediävistik (Ältere deutsche Literatur),830
1.15-02,Germanistische Literatur-und Kulturwissenschaften (Neuere deutsche Literatur),830
1.15-03,Europäische und Amerikanische Literatur- und Kulturwissenschaften,800
1.15-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft,800
1.16-01,Ethnologie und Europäische Ethnologie ,300
1.16-02,Asienbezogene Wissenschaften,300
1.16-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften",300
1.16-04,"Islamwissenschaft, Arabistik, Semitistik",300
1.16-05,Religionswissenschaft und Judaistik,200
1.17-01,Evangelische Theologie,230
1.17-02,Katholische Theologie,230
1.18-01,Geschichte der Philosophie ,100
1.18-02,Theoretische Philosophie,100
1.18-03,Praktische Philosophie,100
1.21-01,Allgemeine und Historische Erziehungswissenschaft ,370
1.21-02,Allgemeines und fachbezogenes Lehren und Lernen ,370
1.21-03,Bildungssysteme und Bildungsinstitutionen,370
1.21-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung,370
1.22-01,"Allgemeine, Kognitive und Mathematische Psychologie",150
1.22-02,Biologische Psychologie und Kognitive Neurowissenschaften ,150
1.22-03,Entwicklungspsychologie und Pädagogische Psychologie ,150
1.22-04,Sozialpsychologie und Arbeits- und Organisationspsychologie,150
1.22-05,"Persönlichkeitspsychologie, Klinische und Medizinische Psychologie, Methoden",150
1.23-01,Soziologische Theorie,300
1.23-02,Empirische Sozialforschung,300
1.23-03,Publizistik und Kommunikationswissenschaft ,070
1.23-04,Politikwissenschaft,320
1.24-01,Wirtschaftstheorie,330
1.24-02,"Wirtschaftspolitik, Angewandte Volkswirtschaftslehre",330
1.24-03,Accounting und Finance,650
1.24-04,Management und Marketing,650
1.24-05,Operations Management und BWL-spezifische Wirtschaftsinformatik ,650
1.24-06,Statistik und Ökonometrie,310
1.24-07,Wirtschafts- und Sozialgeschichte,900
1.25-01,Grundlagen des Rechts und der Rechtswissenschaft ,340
1.25-02,Privatrecht,340
1.25-03,Öffentliches Recht,340
1.25-04,Strafrecht,340
1.25-05,Kriminologie,340
2.11-01,Biochemie,570
2.11-02,Biophysik,570
2.11-03,Zellbiologie,570
2.11-04,Strukturbiologie,570
2.11-05,Allgemeine Genetik und funktionelle Genomforschung ,570
2.11-06,Entwicklungsbiologie,570
2.11-07,Bioinformatik und Theoretische Biologie,570
2.12-01,Evolution und Systematik der Pflanzen und Pilze,580
2.12-02,Ökologie und Biodiversität der Pflanzen und Ökosysteme,580
2.12-03,"Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme",580
2.12-04,Pflanzenphysiologie,580
2.12-05,Biochemie und Biophysik der Pflanzen,580
2.12-06,Zell- und Entwicklungsbiologie der Pflanzen,580
2.12-07,Genetik und Genomik der Pflanzen,580
2.13-01,Systematik und Morphologie der Tiere ,590
2.13-02,"Evolution, Anthropologie",590
2.13-03,"Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen",590
2.13-04,Biologie des Verhaltens und der Sinne ,590
2.13-05,Biochemie und Physiologie der Tiere,590
2.13-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere,590
2.21-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen",570
2.21-02,Mikrobielle Ökologie und Angewandte Mikrobiologie,570
2.21-03,"Medizinische Mikrobiologie und Mykologie, Hygiene, Molekulare Infektionsbiologie",610
2.21-04,Virologie,610
2.21-05,Immunologie,610
2.21-06,Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten,610
2.22-01,Epidemiologie und Medizinische Biometrie/Statistik,610
2.22-02,"Public Health, Gesundheitsbezogene Versorgungsforschung, Sozial- und Arbeitsmedizin",610
2.22-03,Humangenetik,610
